,name,album,year,artists,track_id,image,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
31,Torn,Left Of The Middle,1998-01-08,['Natalie Imbruglia'],0KDaN0HL3TcJVTbXlQCEsS,https://i.scdn.co/image/ab67616d0000b27309ad93f3253de551558a73ab,0.575,0.886,5,-5.182,1,0.034,0.0647,0.000187,0.709,0.609,96.31,audio_features,0KDaN0HL3TcJVTbXlQCEsS,spotify:track:0KDaN0HL3TcJVTbXlQCEsS,https://api.spotify.com/v1/tracks/0KDaN0HL3TcJVTbXlQCEsS,https://api.spotify.com/v1/audio-analysis/0KDaN0HL3TcJVTbXlQCEsS,244667,4
32,Like a Virgin,Like a Virgin,1984-11-12,['Madonna'],1ZPlNanZsJSPK5h9YZZFbZ,https://i.scdn.co/image/ab67616d0000b2736b18e58a06aac7763abe319a,0.771,0.655,3,-10.842,0,0.0372,0.152,0.00197,0.0685,0.97,119.747,audio_features,1ZPlNanZsJSPK5h9YZZFbZ,spotify:track:1ZPlNanZsJSPK5h9YZZFbZ,https://api.spotify.com/v1/tracks/1ZPlNanZsJSPK5h9YZZFbZ,https://api.spotify.com/v1/audio-analysis/1ZPlNanZsJSPK5h9YZZFbZ,218627,4
33,Copacabana (At the Copa),Dance Vault Mixes - Copacabana (At The Copa),2006-09-12,['Barry Manilow'],5FMXrphygZ4z3gVDHGWxgl,https://i.scdn.co/image/ab67616d0000b273668d9bd8f9a446d3d9e5e4a1,0.606,0.899,7,-6.412,0,0.0758,0.333,0.000102,0.0754,0.66,116.735,audio_features,5FMXrphygZ4z3gVDHGWxgl,spotify:track:5FMXrphygZ4z3gVDHGWxgl,https://api.spotify.com/v1/tracks/5FMXrphygZ4z3gVDHGWxgl,https://api.spotify.com/v1/audio-analysis/5FMXrphygZ4z3gVDHGWxgl,236760,4
34,Tainted Love,The Singles,1986-01-01,['Soft Cell'],44hOGg1uFg1XJZGZYNwYmM,https://i.scdn.co/image/ab67616d0000b27367249098d7df849ac05b49b0,0.569,0.402,0,-10.151,1,0.0433,0.438,0.0,0.134,0.696,144.635,audio_features,44hOGg1uFg1XJZGZYNwYmM,spotify:track:44hOGg1uFg1XJZGZYNwYmM,https://api.spotify.com/v1/tracks/44hOGg1uFg1XJZGZYNwYmM,https://api.spotify.com/v1/audio-analysis/44hOGg1uFg1XJZGZYNwYmM,162507,4
35,Mr. Brightside,Hot Fuss,2004-06-15,['The Killers'],0eGsygTp906u18L0Oimnem,https://i.scdn.co/image/ab67616d0000b273797febe9f06dd027b67a3e64,0.351,0.928,1,-3.71,1,0.0759,0.00113,0.0,0.0988,0.239,148.03,audio_features,0eGsygTp906u18L0Oimnem,spotify:track:0eGsygTp906u18L0Oimnem,https://api.spotify.com/v1/tracks/0eGsygTp906u18L0Oimnem,https://api.spotify.com/v1/audio-analysis/0eGsygTp906u18L0Oimnem,222076,4
36,Daddy Issues,Wiped Out!,2015-10-30,['The Neighbourhood'],5E30LdtzQTGqRvNd7l6kG5,https://i.scdn.co/image/ab67616d0000b2733066581d697fbdee4303d685,0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,audio_features,5E30LdtzQTGqRvNd7l6kG5,spotify:track:5E30LdtzQTGqRvNd7l6kG5,https://api.spotify.com/v1/tracks/5E30LdtzQTGqRvNd7l6kG5,https://api.spotify.com/v1/audio-analysis/5E30LdtzQTGqRvNd7l6kG5,260173,4
37,Tongue Tied,Never Trust a Happy Song,2011-09-02,['GROUPLOVE'],0GO8y8jQk1PkHzS31d699N,https://i.scdn.co/image/ab67616d0000b273d84a9bbcba91cb6a4a212b1b,0.56,0.936,3,-5.835,1,0.0439,0.00847,0.0,0.161,0.371,112.96,audio_features,0GO8y8jQk1PkHzS31d699N,spotify:track:0GO8y8jQk1PkHzS31d699N,https://api.spotify.com/v1/tracks/0GO8y8jQk1PkHzS31d699N,https://api.spotify.com/v1/audio-analysis/0GO8y8jQk1PkHzS31d699N,218013,4
38,Kiwi,Harry Styles,2017-05-12,['Harry Styles'],33SNO8AaciGbNaQFkxvPrW,https://i.scdn.co/image/ab67616d0000b2736c619c39c853f8b1d67b7859,0.375,0.93,2,-2.631,1,0.0561,0.00064,0.0,0.318,0.491,147.124,audio_features,33SNO8AaciGbNaQFkxvPrW,spotify:track:33SNO8AaciGbNaQFkxvPrW,https://api.spotify.com/v1/tracks/33SNO8AaciGbNaQFkxvPrW,https://api.spotify.com/v1/audio-analysis/33SNO8AaciGbNaQFkxvPrW,176387,4
39,When I Kissed The Teacher,Arrival,1976,['ABBA'],21aMSP1Q1qKpixpgXaalAS,https://i.scdn.co/image/ab67616d0000b2733c60391b048d33edff6f3d62,0.529,0.933,3,-5.802,1,0.0452,0.506,4.41e-05,0.0572,0.723,153.549,audio_features,21aMSP1Q1qKpixpgXaalAS,spotify:track:21aMSP1Q1qKpixpgXaalAS,https://api.spotify.com/v1/tracks/21aMSP1Q1qKpixpgXaalAS,https://api.spotify.com/v1/audio-analysis/21aMSP1Q1qKpixpgXaalAS,182000,4
40,Boss Bitch,Boss Bitch,2020-01-23,['Doja Cat'],78qd8dvwea0Gosb6Fe6j3k,https://i.scdn.co/image/ab67616d0000b27310356a0e81371e6644cb1371,0.707,0.955,10,-4.593,0,0.222,0.127,0.0,0.202,0.575,125.989,audio_features,78qd8dvwea0Gosb6Fe6j3k,spotify:track:78qd8dvwea0Gosb6Fe6j3k,https://api.spotify.com/v1/tracks/78qd8dvwea0Gosb6Fe6j3k,https://api.spotify.com/v1/audio-analysis/78qd8dvwea0Gosb6Fe6j3k,134240,4
